Designator,Mid X,Mid Y,Rotation,Layer
C1,214.122,-132.7404,90.0,top
C10,217.0938,-122.5042,270.0,top
C2,229.9716,-132.842,180.0,top
C3,229.9716,-133.8072,180.0,top
C4,213.868,-127.3556,180.0,top
C5,217.0938,-124.5362,90.0,top
C6,213.868,-128.3462,180.0,top
C7,211.5312,-133.4008,270.0,top
C8,210.0046,-134.9908,0.0,top
C9,217.0938,-120.4722,270.0,top
D1,212.4964,-130.048,180.0,top
D2,202.946,-132.588,0.0,top
D3,202.946,-121.412,0.0,top
J1,204.94,-126.998,270.0,top
J2,211.9658,-120.629,180.0,top
J3,226.568,-137.16,270.0,bottom
J4,231.648,-116.84,270.0,bottom
L1,207.645,-133.769,270.0,top
Q1,211.1615,-127.1524,270.0,top
Q3,228.9556,-120.0912,90.0,top
R1,213.7664,-134.62,90.0,top
R10,227.983878,-122.9868,90.0,top
R11,212.471,-134.62,90.0,top
R2,208.915,-126.238,270.0,top
R3,208.915,-128.143,90.0,top
R4,229.914278,-122.9868,90.0,top
R5,209.931,-130.8608,0.0,top
R6,220.2688,-124.5362,270.0,top
R7,218.3892,-124.5362,270.0,top
R8,206.4004,-121.412,180.0,top
R9,228.949078,-122.9868,270.0,top
SW1,217.9828,-132.6134,0.0,top
SW2,225.4504,-132.6134,0.0,top
U1,219.324191,-121.496653,180.0,top
U3,217.0065,-127.6858,90.0,top
U5,209.9564,-132.6134,90.0,top
